age,temp
0.529,0.08
0.53,0.11
0.531,0.19
0.532,0.05
0.533,-0.11
0.534,-0.37
0.535,-0.4
0.536,-0.81
0.537,-0.62
0.538,-0.79
0.539,-0.7
0.54,-0.78
0.541,-0.73
0.542,-0.65
0.543,-0.65
0.544,-0.67
0.545,-0.62
0.546,-0.75
0.547,-0.78
0.548,-0.81
0.549,-0.78
0.55,-0.73
0.551,-0.65
0.552,-0.76
0.553,-0.67
0.554,-0.4
0.555,-0.33
0.556,-0.56
0.557,-0.49
0.558,-0.33
0.559,-0.21
0.56,-0.16
0.561,-0.27
0.562,-0.16
0.563,-0.21
0.564,0.05
0.565,0.13
0.566,0.29
0.567,0.16
0.568,0.06
0.569,0.11
0.57,0.21
0.571,0.24
0.572,0.71
0.573,0.62
0.574,0.49
0.575,1.03
0.576,0.92
0.577,0.89
0.578,0.86
0.579,0.75
0.58,0.56
0.581,0.06
0.582,-0.14
0.583,-0.4
0.584,-0.43
0.585,-0.46
0.586,-0.22
0.587,-0.11
0.588,-0.24
0.589,-0.05
0.59,-0.08
0.591,-0.05
0.592,0.03
0.593,0.08
0.594,0.22
0.595,0.25
0.596,0.24
0.597,0.38
0.598,0.08
0.599,0.03
0.6,-0.05
0.602,0.11
0.604,0.43
0.606,0.38
0.608,0.38
0.61,0.87
0.612,0.83
0.614,0.81
0.616,0.6
0.618,0.37
0.62,-0.08
0.622,-0.43
0.624,-0.94
0.626,-1.37
0.628,-1.54
0.63,-1.65
0.632,-1.6
0.634,-1.41
0.636,-1.52
0.638,-1.21
0.64,-1.54
0.642,-1.13
0.644,-1.02
0.646,-1.08
0.648,-1.13
0.65,-1.06
0.652,-1.19
0.654,-1.16
0.656,-0.84
0.658,-0.86
0.66,-0.95
0.662,-1.21
0.664,-0.86
0.666,-0.73
0.668,-0.97
0.67,-0.6
0.672,-0.76
0.674,-0.67
0.676,-0.57
0.678,-0.35
0.68,-0.16
0.682,-0.17
0.684,0.02
0.686,-0.14
0.688,0.14
0.69,0.54
0.692,0.52
0.694,0.63
0.696,0.86
0.698,0.75
0.7,0.62
0.702,0.44
0.704,0.32
0.706,0.17
0.708,0.02
0.71,0.1
0.712,-0.03
0.714,-0.4
0.716,-0.9
0.718,-1.13
0.72,-0.98
0.722,-0.97
0.724,-0.63
0.726,-0.44
0.728,-0.19
0.73,-0.19
0.732,0.03
0.734,-0.17
0.736,-0.24
0.738,-0.27
0.74,-0.11
0.742,-0.21
0.744,-0.7
0.746,-1
0.748,-0.87
0.75,-0.89
0.752,-0.7
0.754,-0.81
0.756,-0.87
0.758,-0.35
0.76,-0.46
0.762,-0.11
0.764,-0.38
0.766,-0.11
0.768,-0.05
0.77,0.08
0.772,0.27
0.774,0.44
0.776,0.63
0.778,0.76
0.78,0.89
0.782,0.79
0.784,0.78
0.786,0.57
0.788,0.54
0.79,-0.19
0.792,-0.37
0.794,-1.11
0.796,-1
0.798,-1.02
0.8,-1.02
0.802,-1.1
0.804,-0.81
0.806,-0.78
0.808,-0.71
0.81,-0.43
0.812,-0.54
0.814,-0.13
0.816,-0.06
0.818,0.22
0.82,0.13
0.822,0.22
0.824,0.19
0.826,-0.11
0.828,0.14
0.83,0
0.832,-0.05
0.834,0.14
0.836,0.35
0.838,0.08
0.84,0.03
0.842,0.37
0.844,0.59
0.846,0.73
0.848,0.65
0.85,0.86
0.852,0.62
0.854,0.65
0.856,0.92
0.858,0.98
0.86,0.94
0.862,0.57
0.864,0.73
0.866,-0.03
0.868,-0.44
0.87,-0.75
0.872,-1
0.874,-1.02
0.876,-1.03
0.878,-0.87
0.88,-1.02
0.882,-0.6
0.884,-0.68
0.886,-0.68
0.888,-0.65
0.89,-0.56
0.892,-0.44
0.894,-0.59
0.896,-0.57
0.898,-0.46
0.9,-0.4
0.902,-0.21
0.904,-0.16
0.906,-0.13
0.908,0.08
0.91,0.08
0.912,-0.08
0.914,0.02
0.916,-0.03
0.918,-0.52
0.92,-0.75
0.922,-0.81
0.924,-0.62
0.926,-0.54
0.928,-0.35
0.93,-0.1
0.932,-0.05
0.934,0.1
0.936,0.03
0.938,0.29
0.94,0.24
0.942,0.56
0.944,0.75
0.946,0.65
0.948,0.89
0.95,0.95
0.952,1.17
0.954,1.03
0.956,1.13
0.958,0.49
0.96,-0.19
0.962,-0.6
0.964,-0.86
0.966,-0.41
0.968,-0.27
0.97,-0.08
0.972,0.1
0.974,0.27
0.976,0.43
0.978,0.51
0.98,0.44
0.982,0.08
0.984,-0.17
0.986,-0.32
0.988,-0.27
0.99,-0.11
0.992,-0.03
0.994,0.16
0.996,0.32
0.998,0.32
1,0.16
1.002,-0.17
1.004,-0.38
1.006,-0.29
1.008,-0.29
1.01,-0.13
1.012,-0.14
1.014,0.08
1.016,0.49
1.018,0.41
1.02,0.33
1.022,0.75
1.024,0.63
1.026,0.27
1.028,0.32
1.03,0.14
1.032,-0.06
1.034,-0.51
1.036,-0.46
1.038,-0.79
1.04,-0.46
1.042,-0.3
1.044,-0.54
1.046,-0.29
1.048,-0.4
1.05,-0.22
1.052,-0.37
1.054,-0.33
1.056,-0.13
1.058,-0.3
1.06,-0.06
1.062,0.16
1.064,0.6
1.066,0.89
1.068,1.13
1.07,1.11
1.072,1.32
1.074,0.98
1.076,0.89
1.078,0.79
1.08,0.68
1.082,0.37
1.084,0.54
1.086,0.24
1.088,0.21
1.09,0.14
1.092,0.05
1.094,0.06
1.096,0.02
1.098,-0.4
1.1,-0.06
1.102,0.02
1.104,0.17
1.106,0.33
1.108,0.59
1.11,0.3
1.112,0.32
1.114,-0.13
1.116,-0.16
1.118,-0.25
1.12,-0.08
1.122,-0.68
1.124,-0.48
1.126,-0.73
1.128,-0.54
1.13,-0.44
1.132,-0.02
1.134,-0.29
1.136,-0.32
1.138,0.03
1.14,0.03
1.142,0.11
1.144,0.08
1.146,0.29
1.148,0.03
1.15,0.35
1.152,0.46
1.154,0.44
1.156,0.4
1.158,0.57
1.16,0.7
1.162,0.7
1.164,0.6
1.166,0.81
1.168,0.76
1.17,0.7
1.172,0.49
1.174,0.44
1.176,0.48
1.178,0.38
1.18,0.7
1.182,0.32
1.184,0.62
1.186,0.43
1.188,0.59
1.19,-0.02
1.192,-0.16
1.194,-0.37
1.196,-0.38
1.198,-0.62
1.2,-0.6
1.202,-0.25
1.204,-0.48
1.206,-0.19
1.208,-0.44
1.21,-0.25
1.212,-0.06
1.214,-0.1
1.216,0.35
1.218,0.49
1.22,0.11
1.222,0.16
1.224,0.48
1.226,0.65
1.228,0.78
1.23,0.98
1.232,1
1.234,1.11
1.236,1.05
1.238,1.1
1.24,1.13
1.242,0.9
1.244,0.3
1.246,-0.1
1.248,-0.51
1.25,-0.43
1.252,-0.33
1.254,-0.37
1.256,-0.11
1.258,0.22
1.26,0.27
1.262,-0.05
1.264,0.13
1.266,0.21
1.268,0.21
1.27,0.32
1.272,0.37
1.274,0.32
1.276,0.52
1.278,0.59
1.28,0.76
1.282,0.62
1.284,0.32
1.286,0.11
1.288,-0.35
1.29,-0.49
1.292,-0.16
1.294,0.16
1.296,-0.25
1.298,-0.17
1.3,-0.05
1.302,-0.03
1.304,0.11
1.306,0.22
1.308,0.38
1.31,0.62
1.312,0.56
1.314,0.52
1.316,0.71
1.318,0.49
1.32,0.14
1.322,0.16
1.324,0.08
1.326,0.06
1.328,-0.08
1.33,-0.03
1.332,0.03
1.334,-0.24
1.336,-0.24
1.338,-0.1
1.34,-0.24
1.342,-0.05
1.344,0.25
1.346,0.29
1.348,0.59
1.35,0.71
1.352,0.87
1.354,1
1.356,0.86
1.358,0.78
1.36,0.65
1.362,0.38
1.364,0.1
1.366,0.08
1.368,-0.25
1.37,0
1.372,-0.35
1.374,-0.27
1.376,-0.06
1.378,-0.25
1.38,-0.02
1.382,0.13
1.384,0.35
1.386,0.51
1.388,0.68
1.39,0.49
1.392,0.71
1.394,0.54
1.396,0.79
1.398,0.87
1.4,0.76
1.402,0.65
1.404,0.48
1.406,0.11
1.408,0.11
1.41,-0.25
1.412,-0.57
1.414,-0.29
1.416,0.13
1.418,0.32
1.42,0.13
1.422,0.33
1.424,0.51
1.426,0.51
1.428,0.68
1.43,0.83
1.432,1.05
1.434,1.05
1.436,1.27
1.438,1.27
1.44,1.21
1.442,1.11
1.444,1.13
1.446,1.08
1.448,1.1
1.45,0.87
1.452,0.38
1.454,-0.25
1.456,-0.43
1.458,-0.32
1.46,-0.1
1.462,-0.05
1.464,-0.29
1.466,0.08
1.468,0.27
1.47,0.67
1.472,0.94
1.474,1.05
1.476,1.16
1.478,0.98
1.48,1.03
1.482,0.95
1.484,0.75
1.486,0.98
1.488,0.98
1.49,0.84
1.492,0.43
1.494,-0.02
1.496,-0.51
1.498,-0.32
1.5,-0.27
1.502,-0.4
1.505,-0.19
1.508,-0.17
1.51,0.03
1.512,0.48
1.515,0.56
1.518,0.4
1.52,0.63
1.522,0.59
1.525,0.54
1.528,0.24
1.53,0.13
1.532,-0.25
1.535,-0.59
1.538,-0.49
1.54,-0.54
1.542,-0.41
1.545,-0.05
1.548,0.11
1.55,0.35
1.552,0.57
1.555,0.51
1.558,0.4
1.56,0.44
1.562,0.73
1.565,0.76
1.567,0.49
1.57,0.3
1.573,-0.21
1.575,-0.32
1.577,-0.22
1.58,0.08
1.583,0.08
1.585,0.38
1.587,0.6
1.59,0.51
1.593,0.29
1.595,0.52
1.597,0.68
1.6,0.81
1.603,1.06
1.605,0.78
1.607,0.6
1.61,0.6
1.613,0.25
1.615,0.32
1.617,0.22
1.62,0.62
1.623,0.57
1.625,0.44
1.627,0.05
1.63,0.78
1.633,0.75
1.635,0.76
1.637,0.7
1.64,0.57
1.643,0.25
1.645,-0.02
1.647,-0.21
1.65,-0.22
1.653,-0.33
1.655,-0.38
1.657,-0.11
1.66,-0.14
1.663,-0.06
1.665,-0.14
1.667,0.21
1.67,0.25
1.673,0.29
1.675,0.78
1.677,0.51
1.68,0.62
1.683,0.75
1.685,0.71
1.688,0.48
1.69,0.51
1.692,0.46
1.695,0.35
1.698,0.43
1.7,-0.08
1.702,-0.17
1.705,-0.13
1.708,-0.21
1.71,0.17
1.712,0.29
1.715,0.33
1.718,0.75
1.72,0.83
1.722,0.51
1.725,0.4
1.728,0.38
1.73,0.48
1.732,0.29
1.735,0.7
1.738,0.7
1.74,0.52
1.742,0.56
1.745,-0.14
1.748,-0.27
1.75,-0.19
1.752,0.3
1.755,0.48
1.758,0.33
1.76,0.81
1.762,0.65
1.765,0.87
1.768,0.83
1.77,0.89
1.772,1.05
1.775,0.81
1.778,0.75
1.78,0.62
1.782,0.38
1.785,0.43
1.788,0.3
1.79,0.08
1.792,-0.03
1.795,-0.08
1.798,0.24
1.8,0.14
1.802,0.38
1.805,0.57
1.808,0.6
1.81,0.83
1.812,0.57
1.815,0.68
1.817,0.1
1.82,0.35
1.823,0.49
1.825,0.51
1.827,0.62
1.83,0.98
1.833,0.65
1.835,0.57
1.837,0.75
1.84,0.75
1.843,0.75
1.845,0.68
1.847,0.38
1.85,0.67
1.853,0.68
1.855,0.76
1.857,0.63
1.86,0.24
1.863,-0.24
1.865,-0.19
1.867,0.11
1.87,0.14
1.873,0.33
1.875,0.32
1.877,0.49
1.88,0.43
1.883,0.56
1.885,0.46
1.887,0.71
1.89,0.57
1.893,0.68
1.895,0.48
1.897,0.56
1.9,0.03
1.903,0.17
1.905,0.05
1.907,0.33
1.91,0.37
1.913,0.37
1.915,0.54
1.917,0.63
1.92,0.54
1.923,0.62
1.925,0.86
1.927,0.89
1.93,0.84
1.933,0.94
1.935,0.83
1.938,0.73
1.94,0.84
1.942,0.03
1.945,0.02
1.948,-0.21
1.95,-0.1
1.952,0.03
1.955,0.24
1.958,0.43
1.96,0.29
1.962,0.22
1.965,0.48
1.968,0.68
1.97,0.46
1.972,0.86
1.975,0.78
1.978,0.94
1.98,1.13
1.982,1.05
1.985,1.08
1.988,0.83
1.99,0.62
1.992,0.57
1.995,0.73
1.998,0.56
2,0.3
2.002,0.37
2.005,0.19
2.007,0.24
2.01,0.78
2.013,0.65
2.015,0.37
2.018,0.79
2.02,0.75
2.022,0.92
2.025,1.27
2.027,0.95
2.03,1.11
2.033,1.08
2.035,0.76
2.038,0.65
2.04,0.59
2.042,0.67
2.045,0.19
2.047,0.41
2.05,0.52
2.053,0.67
2.055,0.7
2.058,0.51
2.06,0.48
2.062,0.25
2.065,-0.22
2.067,-0.22
2.07,-0.27
2.072,-0.38
2.075,-0.19
2.078,-0.17
2.08,0.13
2.083,0.08
2.085,0.3
2.087,0.25
2.09,0.54
2.092,0.65
2.095,0.87
2.098,0.92
2.1,0.95
2.103,0.78
2.105,0.6
2.107,0.65
2.11,0.84
2.112,0.86
2.115,0.86
2.118,0.51
2.12,0.57
2.123,0.57
2.125,0.86
2.127,0.9
2.13,1.14
2.132,1.19
2.135,1.19
2.138,1.11
2.14,1.29
2.143,0.95
2.145,0.7
2.147,0.06
2.15,-0.17
2.152,-0.29
2.155,-0.3
2.158,-0.1
2.16,-0.17
2.163,0.16
2.165,0.25
2.167,0.43
2.17,0.56
2.172,0.59
2.175,0.76
2.178,0.86
2.18,1.08
2.183,1
2.185,0.98
2.188,1.05
2.19,0.76
2.192,0.57
2.195,0.43
2.197,0.33
2.2,0.29
2.203,0.33
2.205,0.48
2.208,0.7
2.21,0.71
2.212,0.92
2.215,0.71
2.217,0.68
2.22,0.75
2.223,0.87
2.225,1.03
2.228,0.98
2.23,0.92
2.232,0.87
2.235,0.76
2.237,0.38
2.24,0.05
2.243,0.27
2.245,0.38
2.248,0.51
2.25,0.68
2.252,0.94
2.255,1.03
2.257,1.14
2.26,1.32
2.263,1.17
2.265,0.94
2.268,1.06
2.27,0.89
2.272,0.86
2.275,0.27
2.277,0.38
2.28,0.32
2.283,0.21
2.285,0.38
2.288,0.56
2.29,0.57
2.292,0.92
2.295,0.94
2.297,1.22
2.3,1.21
2.303,1.08
2.305,1.1
2.308,0.97
2.31,0.68
2.312,0.54
2.315,0.48
2.317,0.46
2.32,0.44
2.322,0.7
2.325,0.83
2.328,0.63
2.33,0.63
2.333,0.83
2.335,1.03
2.337,1.19
2.34,1.33
2.342,1.13
2.345,1.06
2.348,1.25
2.35,0.73
2.353,0.51
2.355,0.38
2.357,0.13
2.36,0.19
2.362,0.44
2.365,0.27
2.368,0.65
2.37,0.51
2.373,0.65
2.375,1.03
2.377,1.05
2.38,1.06
2.382,1.27
2.385,1.13
2.388,0.89
2.39,0.79
2.393,0.7
2.395,1
2.397,0.92
2.4,0.89
2.402,0.59
2.405,0.56
2.408,1
2.41,1.19
2.413,1.06
2.415,1.06
2.417,1.13
2.42,1.1
2.422,0.81
2.425,0.87
2.428,0.6
2.43,0.17
2.433,-0.21
2.435,-0.08
2.438,-0.16
2.44,0.05
2.442,0.06
2.445,0.14
2.447,0.21
2.45,0.49
2.453,0.56
2.455,0.94
2.458,1.03
2.46,1.03
2.462,1.32
2.465,1.25
2.467,1.16
2.47,1.14
2.473,0.97
2.475,0.75
2.478,0.54
2.48,0.54
2.482,0.13
2.485,0.08
2.487,-0.19
2.49,0.33
2.493,0.62
2.495,0.67
2.498,0.97
2.5,1.37
2.502,1.1
2.505,0.89
2.507,0.98
2.51,0.62
2.513,0.44
2.515,0.24
2.518,-0.13
2.52,-0.14
2.522,-0.03
2.525,-0.14
2.527,0.02
2.53,0.24
2.533,0.17
2.535,0.49
2.538,0.48
2.54,0.65
2.542,1.1
2.545,1.22
2.547,1.37
2.55,1.32
2.553,1.21
2.555,0.97
2.558,1.03
2.56,1.06
2.562,1.05
2.565,0.65
2.567,0.81
2.57,0.9
2.572,0.9
2.575,1
2.578,1.14
2.58,1.29
2.583,1.24
2.585,1.4
2.587,1.22
2.59,0.97
2.592,0.94
2.595,0.9
2.598,0.48
2.6,0.22
2.603,0.29
2.605,0.37
2.607,0.3
2.61,0.67
2.612,0.63
2.615,0.95
2.618,0.94
2.62,1.22
2.623,1.27
2.625,1.16
2.627,1.24
2.63,1.29
2.632,0.95
2.635,0.94
2.638,0.89
2.64,0.6
2.643,0.51
2.645,0.32
2.647,0.56
2.65,0.84
2.652,1
2.655,1.1
2.658,1.43
2.66,1.29
2.663,1.57
2.665,1.25
2.667,1.27
2.67,1.35
2.672,1.33
2.675,1.3
2.678,1.08
2.68,1.06
2.683,0.79
2.685,0.57
2.688,0.46
2.69,0.68
2.692,0.81
2.695,0.68
2.697,0.75
2.7,0.68
2.703,0.89
2.705,0.4
2.708,0.44
2.71,0.54
2.712,0.44
2.715,0.27
2.717,0.38
2.72,0.38
2.723,0.43
2.725,0.6
2.728,0.68
2.73,0.9
2.732,1.03
2.735,1.22
2.737,1.46
2.74,1.37
2.743,1.59
2.745,1.41
2.748,1.51
2.75,1.44
2.752,1.32
2.755,1.35
2.757,1.4
2.76,1.22
2.763,1.27
2.765,1.27
2.768,1.41
2.77,1.44
2.772,1.21
2.775,1.16
2.777,1.29
2.78,1.37
2.783,1.4
2.785,1.35
2.788,1.27
2.79,1.32
2.792,1.24
2.795,1
2.797,1.02
2.8,0.86
2.803,0.48
