Age_ma,Pacific_d18O_trend,Pacific_d18O_low,Pacific_d18O_high
26.5,1.83,1.69,1.97
26.6,1.84,1.71,1.98
26.7,1.86,1.73,1.99
26.8,1.88,1.76,2.00
26.9,1.90,1.78,2.03
27,1.91,1.78,2.03
27.1,1.90,1.77,2.03
27.2,1.88,1.76,2.00
27.3,1.85,1.73,1.98
27.4,1.83,1.71,1.95
27.5,1.81,1.68,1.93
27.6,1.79,1.66,1.92
27.7,1.77,1.64,1.89
27.8,1.74,1.62,1.85
27.9,1.71,1.60,1.82
28,1.67,1.56,1.79
28.1,1.65,1.53,1.78
28.2,1.65,1.53,1.78
28.3,1.66,1.54,1.78
28.4,1.67,1.56,1.79
28.5,1.69,1.57,1.80
28.6,1.70,1.59,1.82
28.7,1.72,1.60,1.83
28.8,1.73,1.62,1.85
28.9,1.75,1.64,1.86
29,1.77,1.67,1.88
29.1,1.78,1.67,1.88
29.2,1.77,1.66,1.88
29.3,1.76,1.64,1.87
29.4,1.74,1.63,1.85
29.5,1.73,1.62,1.83
29.6,1.72,1.61,1.82
29.7,1.71,1.61,1.81
29.8,1.71,1.60,1.81
29.9,1.70,1.60,1.80
30,1.69,1.59,1.79
30.1,1.68,1.58,1.78
30.2,1.67,1.57,1.77
30.3,1.66,1.56,1.76
30.4,1.66,1.56,1.76
30.5,1.65,1.55,1.75
30.6,1.63,1.54,1.72
30.7,1.60,1.51,1.70
30.8,1.58,1.48,1.68
30.9,1.56,1.46,1.65
31,1.54,1.44,1.64
31.1,1.54,1.44,1.64
31.2,1.54,1.43,1.64
31.3,1.53,1.43,1.64
31.4,1.53,1.42,1.64
31.5,1.52,1.41,1.63
31.6,1.52,1.41,1.63
31.7,1.52,1.41,1.62
31.8,1.52,1.42,1.63
31.9,1.53,1.43,1.64
32,1.55,1.44,1.66
32.1,1.56,1.44,1.67
32.2,1.56,1.45,1.67
32.3,1.55,1.45,1.65
32.4,1.53,1.43,1.64
32.5,1.52,1.41,1.62
32.6,1.50,1.40,1.60
32.7,1.49,1.39,1.59
32.8,1.49,1.38,1.59
32.9,1.50,1.40,1.60
33,1.52,1.42,1.62
33.1,1.55,1.46,1.65
33.2,1.59,1.50,1.69
33.3,1.63,1.52,1.73
33.4,1.64,1.54,1.75
33.5,1.63,1.52,1.73
33.6,1.57,1.47,1.67
33.7,1.49,1.39,1.59
33.8,1.40,1.30,1.49
33.9,1.29,1.18,1.39
34,1.17,1.06,1.28
34.1,1.06,0.95,1.17
34.2,0.96,0.85,1.08
34.3,0.90,0.78,1.02
34.4,0.88,0.75,1.02
34.5,0.90,0.76,1.04
34.6,0.93,0.77,1.09
34.7,0.95,0.76,1.15
34.8,0.92,0.71,1.14
34.9,0.88,0.68,1.09
35,0.82,0.62,1.03
35.1,0.77,0.57,0.97
35.2,0.75,0.56,0.94
35.3,0.76,0.58,0.94
35.4,0.80,0.62,0.98
35.5,0.84,0.66,1.02
35.6,0.87,0.69,1.06
35.7,0.90,0.72,1.08
35.8,0.93,0.76,1.10
35.9,0.95,0.78,1.12
36,0.96,0.77,1.14
36.1,0.94,0.75,1.13
36.2,0.92,0.73,1.11
36.3,0.87,0.70,1.04
36.4,0.83,0.66,1.00
36.5,0.80,0.63,0.98
36.6,0.79,0.61,0.98
36.7,0.81,0.63,0.99
36.8,0.85,0.67,1.02
36.9,0.90,0.73,1.06
37,0.95,0.79,1.10
37.1,0.99,0.82,1.16
37.2,1.02,0.82,1.21
37.3,1.02,0.82,1.21
37.4,1.00,0.82,1.19
37.5,1.00,0.85,1.15
37.6,1.01,0.88,1.14
37.7,1.01,0.88,1.15
37.8,1.02,0.87,1.17
37.9,1.00,0.85,1.14
38,0.96,0.83,1.10
38.1,0.92,0.79,1.05
38.2,0.87,0.74,1.00
38.3,0.84,0.71,0.97
38.4,0.82,0.70,0.95
38.5,0.81,0.68,0.95
38.6,0.80,0.66,0.94
38.7,0.79,0.65,0.93
38.8,0.77,0.63,0.92
38.9,0.76,0.62,0.89
39,0.73,0.59,0.86
39.1,0.68,0.54,0.82
39.2,0.60,0.45,0.76
39.3,0.53,0.37,0.70
39.4,0.51,0.32,0.69
39.5,0.53,0.34,0.71
39.6,0.57,0.39,0.76
39.7,0.62,0.44,0.80
39.8,0.64,0.46,0.82
39.9,0.64,0.47,0.81
40,0.63,0.46,0.79
40.1,0.60,0.44,0.77
40.2,0.58,0.42,0.74
40.3,0.56,0.41,0.72
40.4,0.55,0.40,0.71
40.5,0.55,0.40,0.69
40.6,0.53,0.38,0.69
40.7,0.52,0.36,0.68
40.8,0.50,0.34,0.67
40.9,0.50,0.34,0.66
41,0.50,0.34,0.67
41.1,0.51,0.34,0.68
41.2,0.52,0.34,0.69
41.3,0.51,0.33,0.70
41.4,0.51,0.32,0.70
41.5,0.50,0.32,0.69
41.6,0.50,0.31,0.70
41.7,0.50,0.30,0.70
41.8,0.49,0.27,0.72
41.9,0.47,0.25,0.70
42,0.46,0.24,0.68
42.1,0.45,0.26,0.65
42.2,0.45,0.25,0.65
42.3,0.45,0.25,0.66
42.4,0.45,0.25,0.64
42.5,0.44,0.25,0.64
42.6,0.44,0.26,0.61
42.7,0.43,0.27,0.59
42.8,0.43,0.26,0.59
42.9,0.43,0.26,0.60
43,0.43,0.26,0.60
43.1,0.42,0.25,0.59
43.2,0.41,0.24,0.59
43.3,0.40,0.23,0.56
43.4,0.38,0.22,0.54
43.5,0.35,0.20,0.51
43.6,0.33,0.17,0.49
43.7,0.33,0.16,0.49
43.8,0.34,0.18,0.50
43.9,0.36,0.20,0.52
44,0.36,0.19,0.52
44.1,0.33,0.16,0.50
